id = 99
editor = DM
# data restricted to DVCS kinematics Q2> 1.5 GeV^2 and -t/Q2 < 0.25
# only data are taken where 18 bins and more are filled

### Experiment E145M2

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M2, restricted kinematics

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Helicity Independent Cross Section
0.215   1.88    0.34    127.25  0.0331  0.0149  0.0041
0.215   1.88    0.34    142.32  0.0203  0.0124  0.0033
0.215   1.88    0.34    157.4   -0.0088 0.0125  0.0024
0.215   1.88    0.34    172.46  0.0101  0.0138  0.0058
0.215   1.88    0.34    187.54  -0.0011 0.0127  0.0051
0.215   1.88    0.34    202.6   -0.0246 0.0118  0.0075
0.215   1.88    0.34    217.68  0.0085  0.0119  0.0046
0.215   1.88    0.34    232.75  0.0087  0.0128  0.0037
0.215   1.88    0.34    247.82  -0.015  0.0163  0.004
0.215   1.88    0.34    262.9   -0.0283 0.0165  0.0055
0.215   1.88    0.34    277.99  -0.0208 0.0197  0.003
0.215   1.88    0.34    293.1   -0.06   0.0284  0.0062
0.215   1.88    0.34    307.28  -0.0999 0.0361  0.0094
0.215   1.88    0.34    317.63  0   0   0
0.215   1.88    0.34    337.5   0   0   0
0.215   1.88    0.34    352.5   0   0   0
0.215   1.88    0.45    7.5 0   0   0
0.215   1.88    0.45    22.5    0   0   0
0.215   1.88    0.45    42.22   0   0   0
0.215   1.88    0.45    51.98   -0.0025 0.0182  0.0088
0.215   1.88    0.45    66.87   0.0282  0.0166  0.006
0.215   1.88    0.45    81.99   0.038   0.0135  0.0089
0.215   1.88    0.45    97.08   0.0018  0.0111  0.0039
0.215   1.88    0.45    112.17  0.0077  0.0085  0.0036
0.215   1.88    0.45    127.24  -0.0026 0.0076  0.0034
0.215   1.88    0.45    142.32  -0.0065 0.0086  0.0013
0.215   1.88    0.45    157.4   0.014   0.0085  0.0041
0.215   1.88    0.45    172.46  -0.0065 0.0083  0.0051
0.215   1.88    0.45    187.54  0.0114  0.009   0.0041
0.215   1.88    0.45    202.6   -0.0144 0.0111  0.0036
0.215   1.88    0.45    217.68  -0.0115 0.008   0.0047
0.215   1.88    0.45    232.76  -0.0126 0.009   0.0036
0.215   1.88    0.45    247.83  -0.0272 0.0111  0.0049
0.215   1.88    0.45    262.92  -0.0315 0.0104  0.0034
0.215   1.88    0.45    278.01  -0.0507 0.0118  0.0046
0.215   1.88    0.45    293.13  -0.0058 0.0172  0.0032
0.215   1.88    0.45    308.02  -0.0863 0.0222  0.0076
0.215   1.88    0.45    317.78  -0.023  0.0458  0.0088
0.215   1.88    0.45    337.5   0   0   0
0.215   1.88    0.45    352.5   0   0   0
0.244   1.79    0.11    7.44    -0.0119 0.0879  0.0255
