id = 100
editor = DM
# data restricted to DVCS kinematics Q2> 1.5 GeV^2 and -t/Q2 < 0.25
# only data are taken where 18 bins and more are filled

### Experiment E145M1

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M1, restricted kinematics

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
0.215   1.88    0.26    277.97  0.3472  0.0251  0.0397
0.215   1.88    0.26    293.07  0.4599  0.0332  0.0449
0.215   1.88    0.26    306.95  0.7515  0.0454  0.0451
0.215   1.88    0.26    318.14  0   0   0
0.215   1.88    0.26    337.5   0   0   0
0.215   1.88    0.26    352.5   0   0   0
0.215   1.88    0.34    7.5 0   0   0
0.215   1.88    0.34    22.5    0   0   0
0.215   1.88    0.34    42.37   0   0   0
0.215   1.88    0.34    52.72   0.4224  0.0246  0.0264
0.215   1.88    0.34    66.9    0.2735  0.0217  0.0357
0.215   1.88    0.34    82.01   0.19    0.0184  0.0234
0.215   1.88    0.34    97.1    0.1485  0.014   0.0171
0.215   1.88    0.34    112.18  0.1113  0.0125  0.0135
0.215   1.88    0.34    127.25  0.0847  0.0122  0.0127
0.215   1.88    0.34    142.32  0.0642  0.0102  0.0089
0.215   1.88    0.34    157.4   0.0811  0.0102  0.013
0.215   1.88    0.34    172.46  0.0739  0.0113  0.0131
0.215   1.88    0.34    187.54  0.054   0.0104  0.0052
0.215   1.88    0.34    202.6   0.0572  0.0096  0.0123
0.215   1.88    0.34    217.68  0.0659  0.0097  0.0075
0.215   1.88    0.34    232.75  0.0634  0.0105  0.009
0.215   1.88    0.34    247.82  0.0911  0.0133  0.0073
0.215   1.88    0.34    262.9   0.1362  0.0135  0.0154
0.215   1.88    0.34    277.99  0.192   0.0161  0.0124
0.215   1.88    0.34    293.1   0.303   0.0234  0.0442
0.215   1.88    0.34    307.28  0.4515  0.0296  0.0384
0.215   1.88    0.34    317.63  0   0   0
0.215   1.88    0.34    337.5   0   0   0
0.215   1.88    0.34    352.5   0   0   0
0.215   1.88    0.45    7.5 0   0   0
0.215   1.88    0.45    22.5    0   0   0
0.215   1.88    0.45    42.22   0   0   0
0.215   1.88    0.45    51.98   0.2599  0.0149  0.0266
0.215   1.88    0.45    66.87   0.1669  0.0136  0.0139
0.215   1.88    0.45    81.99   0.1014  0.0111  0.0223
0.215   1.88    0.45    97.08   0.0874  0.0091  0.0065
0.215   1.88    0.45    112.17  0.0575  0.007   0.0099
0.215   1.88    0.45    127.24  0.0325  0.0062  0.0034
0.215   1.88    0.45    142.32  0.0395  0.0071  0.0042
0.215   1.88    0.45    157.4   0.047   0.007   0.0087
0.215   1.88    0.45    172.46  0.0384  0.0068  0.0094
0.215   1.88    0.45    187.54  0.0354  0.0073  0.0037
0.215   1.88    0.45    202.6   0.054   0.0091  0.0147
0.215   1.88    0.45    217.68  0.0415  0.0066  0.0102
0.215   1.88    0.45    232.76  0.0455  0.0073  0.0078
0.215   1.88    0.45    247.83  0.0633  0.0091  0.0199
0.215   1.88    0.45    262.92  0.0747  0.0085  0.0078
0.215   1.88    0.45    278.01  0.1021  0.0096  0.0077
0.215   1.88    0.45    293.13  0.1669  0.0142  0.0145
0.215   1.88    0.45    308.02  0.2629  0.0182  0.023
0.215   1.88    0.45    317.78  0.3525  0.0374  0.0436
0.215   1.88    0.45    337.5   0   0   0
0.215   1.88    0.45    352.5   0   0   0
0.244   1.79    0.11    7.44    0.9228  0.0721  0.071
0.244   1.79    0.11    22.34   0.7688  0.0553  0.0542
0.244   1.79    0.11    37.27   0.6802  0.0463  0.0469
0.244   1.79    0.11    52.23   0.5245  0.0421  0.0399
0.244   1.79    0.11    67.21   0.4598  0.0479  0.0419
0.244   1.79    0.11    82.21   0.4173  0.0486  0.0553
0.244   1.79    0.11    97.22   0.404   0.0407  0.0453
0.244   1.79    0.11    112.25  0.2445  0.0337  0.0288
0.244   1.79    0.11    127.28  0.2346  0.0498  0.0406
0.244   1.79    0.11    142.33  0.1501  0.0682  0.0422
0.244   1.79    0.11    157.39  0.1332  0.0671  0.084
0.244   1.79    0.11    172.46  0   0   0
0.244   1.79    0.11    187.54  0   0   0
0.244   1.79    0.11    202.61  0   0   0
0.244   1.79    0.11    217.67  0   0   0
0.244   1.79    0.11    232.72  0   0   0
0.244   1.79    0.11    247.75  0.2823  0.0379  0.1002
0.244   1.79    0.11    262.78  0.2947  0.0325  0.0542
0.244   1.79    0.11    277.79  0.4555  0.0471  0.0348
0.244   1.79    0.11    292.79  0.3275  0.0422  0.0448
0.244   1.79    0.11    307.77  0.5403  0.0466  0.1026
0.244   1.79    0.11    322.73  0.7645  0.0516  0.0656
0.244   1.79    0.11    337.66  0.7752  0.0523  0.0944
0.244   1.79    0.11    352.56  0.9391  0.0701  0.071
0.244   1.79    0.15    7.42    1.0445  0.0618  0.0647
0.244   1.79    0.15    22.25   0.8147  0.0464  0.0655
0.244   1.79    0.15    37.15   0.7672  0.042   0.0544
0.244   1.79    0.15    52.12   0.528   0.0357  0.0454
