id = 6
editor = KK
editor1 = DM
# Feb. 2010
# modified naming scheme


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2007
reference =  arXiv:0711.4805
inspiretex = Girod:2007aa
reference2 = private table


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.77
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is knonw, 
# according to private communication (DM) the systematic one can be neglected



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2007 ALU
#
# xB     Q2     -t     phi     ALU     stat
############################################
0.4412 3.5995 0.3522 343.1228 -0.1352 0.0917
0.1331 1.1611 0.4929 25.9316 -0.0222 0.1516
0.1331 1.1611 0.4929 45.4787 0.1188 0.0371
0.1331 1.1611 0.4929 73.9968 0.0158 0.0509
0.1331 1.1611 0.4929 103.9458 0.0583 0.0556
0.1331 1.1611 0.4929 134.5459 0.0006 0.0721
0.1331 1.1611 0.4929 164.3507 0.1365 0.0728
0.1331 1.1611 0.4929 196.2684 -0.0550 0.0779
0.1331 1.1611 0.4929 224.7675 -0.0379 0.0688
0.1331 1.1611 0.4929 257.6002 -0.0630 0.0629
0.1331 1.1611 0.4929 285.3422 -0.1204 0.0481
0.1331 1.1611 0.4929 315.1303 -0.1763 0.0443
0.1331 1.1611 0.4929 335.0314 0.2463 0.1492
0.1750 1.3580 0.4910 27.3317 0.0830 0.1313
0.1750 1.3580 0.4910 44.1736 0.1786 0.0356
0.1750 1.3580 0.4910 72.2537 0.1831 0.0555
0.1750 1.3580 0.4910 104.0868 0.1241 0.0723
0.1750 1.3580 0.4910 134.5042 0.0038 0.1227
0.1750 1.3580 0.4910 165.0676 0.0503 0.1197
0.1750 1.3580 0.4910 192.9413 0.0777 0.1493
0.1750 1.3580 0.4910 227.2622 -0.1422 0.1269
0.1750 1.3580 0.4910 258.0286 -0.3164 0.0738
0.1750 1.3580 0.4910 285.3217 -0.0955 0.0547
0.1750 1.3580 0.4910 316.6645 -0.1723 0.0381
0.1750 1.3580 0.4910 333.1584 -0.0732 0.1152
0.1765 1.5611 0.4909 28.6299 -0.1228 0.1876
0.1765 1.5611 0.4909 46.4330 0.1970 0.0319
0.1765 1.5611 0.4909 72.9925 0.1664 0.0428
0.1765 1.5611 0.4909 103.8537 0.0848 0.0571
0.1765 1.5611 0.4909 134.1272 0.1839 0.0735
0.1765 1.5611 0.4909 164.0506 0.0472 0.0758
0.1765 1.5611 0.4909 196.6261 -0.2562 0.0824
0.1765 1.5611 0.4909 224.8353 -0.1054 0.0649
0.1765 1.5611 0.4909 255.9545 -0.1295 0.0575
0.1765 1.5611 0.4909 285.9787 -0.1850 0.0417
0.1765 1.5611 0.4909 312.8313 -0.1292 0.0364
0.1765 1.5611 0.4909 332.3397 0.0043 0.2591
0.2524 1.7039 0.4875 19.2795 0.1311 0.0334
0.2524 1.7039 0.4875 43.0521 0.2349 0.0281
0.2524 1.7039 0.4875 71.3001 0.2875 0.0559
0.2524 1.7039 0.4875 102.9551 0.0358 0.1025
0.2524 1.7039 0.4875 136.2640 0.1381 0.0869
0.2524 1.7039 0.4875 165.4849 -0.0199 0.0600
0.2524 1.7039 0.4875 194.3429 0.0508 0.0788
0.2524 1.7039 0.4875 219.8710 -0.1078 0.1057
0.2524 1.7039 0.4875 261.6451 -0.1738 0.1082
0.2524 1.7039 0.4875 286.3208 -0.2609 0.0519
0.2524 1.7039 0.4875 318.3337 -0.1590 0.0303
0.2524 1.7039 0.4875 339.9879 -0.1397 0.0299
0.2486 1.9485 0.4873 23.9132 0.1548 0.0608
0.2486 1.9485 0.4873 43.5204 0.1926 0.0267
0.2486 1.9485 0.4873 72.7362 0.2544 0.0466
0.2486 1.9485 0.4873 103.3373 0.0363 0.0672
0.2486 1.9485 0.4873 131.7697 0.0788 0.1134
0.2486 1.9485 0.4873 165.4213 0.1644 0.1002
0.2486 1.9485 0.4873 194.6935 0.0847 0.1428
0.2486 1.9485 0.4873 226.3000 -0.1460 0.1080
0.2486 1.9485 0.4873 257.8180 -0.1652 0.0695
0.2486 1.9485 0.4873 286.4975 -0.2952 0.0444
0.2486 1.9485 0.4873 317.1408 -0.1858 0.0297
0.2486 1.9485 0.4873 336.1456 -0.0495 0.0600
0.2504 2.2028 0.4883 27.8407 0.3762 0.1490
0.2504 2.2028 0.4883 46.4253 0.1359 0.0272
0.2504 2.2028 0.4883 73.2149 0.1724 0.0395
0.2504 2.2028 0.4883 104.3071 0.1958 0.0492
0.2504 2.2028 0.4883 133.1948 0.0816 0.0743
0.2504 2.2028 0.4883 165.9508 0.0821 0.0976
0.2504 2.2028 0.4883 197.7134 -0.1287 0.0766
0.2504 2.2028 0.4883 224.9444 -0.0692 0.0650
0.2504 2.2028 0.4883 257.4963 -0.2653 0.0501
0.2504 2.2028 0.4883 286.2383 -0.2054 0.0368
0.2504 2.2028 0.4883 312.9241 -0.1995 0.0298
0.2504 2.2028 0.4883 334.1075 0.0661 0.2188
0.3443 2.0062 0.4964 13.4619 0.1042 0.0397
0.3443 2.0062 0.4964 43.9100 0.1705 0.0563
0.3443 2.0062 0.4964 68.7731 0.1565 0.1151
0.3443 2.0062 0.4964 109.4653 0.0497 0.0942
0.3443 2.0062 0.4964 133.3800 0.2709 0.0837
0.3443 2.0062 0.4964 164.7532 -0.0547 0.1389
0.3443 2.0062 0.4964 200.0772 -0.1462 0.1150
0.3443 2.0062 0.4964 222.3310 -0.0073 0.1041
0.3443 2.0062 0.4964 254.0294 -0.1775 0.1247
0.3443 2.0062 0.4964 289.8315 -0.1886 0.1365
0.3443 2.0062 0.4964 318.9634 -0.2196 0.0531
0.3443 2.0062 0.4964 345.8947 -0.0806 0.0357
0.3501 2.3282 0.4938 13.8274 0.1579 0.0327
0.3501 2.3282 0.4938 44.0544 0.2697 0.0442
0.3501 2.3282 0.4938 70.9704 0.1185 0.0807
0.3501 2.3282 0.4938 109.7292 0.0457 0.1138
0.3501 2.3282 0.4938 132.8329 0.1077 0.0793
0.3501 2.3282 0.4938 164.6847 -0.0693 0.1521
0.3501 2.3282 0.4938 197.2216 -0.2425 0.1136
0.3501 2.3282 0.4938 221.4523 -0.0832 0.1025
0.3501 2.3282 0.4938 257.2713 -0.0902 0.1602
0.3501 2.3282 0.4938 287.3560 -0.3973 0.0749
0.3501 2.3282 0.4938 318.0643 -0.1997 0.0438
0.3501 2.3282 0.4938 345.0230 -0.0569 0.0293
0.3555 2.6851 0.4889 16.2136 0.1133 0.0342
0.3555 2.6851 0.4889 43.1702 0.2654 0.0393
0.3555 2.6851 0.4889 72.5245 0.2188 0.0589
0.3555 2.6851 0.4889 102.6150 0.1037 0.0956
0.3555 2.6851 0.4889 131.0389 0.0278 0.1649
